dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeDuration,metabolite_132,0.01348449435154917,0.45456754446864234,0.6494731206320099,1886.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.8461975876060535
sleep_awakeningsCount,metabolite_132,-0.05459426459800927,-1.6212772375241968,0.10511205341741445,2064.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.356812093224376
sleep_efficiency,metabolite_132,-0.00107515632452429,-1.3166213853665427,0.18812036503513527,1964.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.48811968646029835
sleep_minutesAfterWakeup,metabolite_132,0.06158549104292859,1.8260573895640433,0.06801173802356189,1767.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.2806559983719022
sleep_minutesAsleep,metabolite_132,0.02416369891222625,1.1846392731840891,0.2363011381007777,2011.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.5389464435161079
sleep_restlessDuration,metabolite_132,0.058995652608293245,2.225189129212955,0.02618697818142942,1892.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.16329775758454368
sleep_awakeDuration,metabolite_136,-0.011518833460647932,-0.812208532705042,0.4167702660188348,1982.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.7070042998708913
sleep_awakeningsCount,metabolite_136,0.005051841592219362,0.31575509802522767,0.752219063643266,2164.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.9039474552999597
sleep_efficiency,metabolite_136,-0.00044601050622550156,-1.1519243606331189,0.2494868701015955,2059.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.5534222958308647
sleep_minutesAfterWakeup,metabolite_136,0.019676139393207087,1.2317421648840716,0.21820220875258073,1862.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.5191807296036262
sleep_minutesAsleep,metabolite_136,0.0020830991800131118,0.21416815550113097,0.8304367305064134,2114.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.9389391965026491
sleep_restlessDuration,metabolite_136,-0.013335669789068541,-1.0431623105933032,0.29700079352464137,1990.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.5984394024176001
sleep_awakeDuration,metabolite_158,0.05823923867379374,0.8304714620432724,0.40636983758982836,2047.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.7025509307562608
sleep_awakeningsCount,metabolite_158,0.026140105857946298,0.3301372091870116,0.7413274108194241,2237.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.8979833941073374
sleep_efficiency,metabolite_158,-0.0016203313185809282,-0.8432951250548756,0.3991588591852807,2128.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.6967167259135209
sleep_minutesAfterWakeup,metabolite_158,0.12880757957059383,1.6130945044031302,0.10688900033942594,1927.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.3587798804174633
sleep_minutesAsleep,metabolite_158,0.07143011206850867,1.493224775221771,0.13552373480049237,2185.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.4120716040100653
sleep_restlessDuration,metabolite_158,0.10599367507388974,1.6700891638504984,0.09505513438447356,2055.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.3391054198874672
sleep_awakeDuration,metabolite_171,0.0750166873917739,2.1605110281519933,0.030848266883880822,2072.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.17949897688419975
