dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_minutesAfterWakeup,metabolite_112,0.11626164400099519,1.8750777392064444,0.06093183416959012,1949.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.2505078609075984
sleep_minutesAsleep,metabolite_112,0.10008536709325672,2.579371357017001,0.009962254146019197,2210.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.08449119318180433
sleep_restlessDuration,metabolite_112,0.08794497263650555,1.7388418914337145,0.08221088937031025,2080.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.2992018021218002
sleep_awakeDuration,metabolite_132,0.0211594962575609,0.7044275234792111,0.4812537725003918,1886.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.733779669261877
sleep_awakeningsCount,metabolite_132,-0.05586558422714959,-1.5877964137701959,0.11248592114567305,2064.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.35691121097632966
sleep_efficiency,metabolite_132,-0.001075687027642297,-1.3168557911726486,0.18804099035617902,1964.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.47176423347964175
sleep_minutesAfterWakeup,metabolite_132,0.06805731145439568,2.0302050689502775,0.04248564770391618,1767.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.20356591894005246
sleep_minutesAsleep,metabolite_132,0.03594580247711794,1.702569505983937,0.08880358418103283,2011.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.3130761654068569
sleep_restlessDuration,metabolite_132,0.07660234901242086,2.7857799230075435,0.005393297148610551,1892.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.05659814167238387
sleep_awakeDuration,metabolite_136,-0.009699915290129315,-0.6754187304132547,0.4994887571741885,1982.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.7479851072175382
